feeder,qu_deadband_pct,qu_response_tau_s,oltc_deadband_pct,oltc_delay_s,total_tap_ops,warmup_tap_ops,taps_per_day,curtailment_mvarh,sim_hours,tap_ops_reg1,tap_ops_reg2,tap_ops_reg3,wall_seconds,seed
ieee13,0.0,1.0,1.0,30.0,0,0,0.0,0.003895621569457266,0.9163888888888879,0,0,0,0.7573757171630859,42
ieee13,0.0,1.0,1.0,60.0,0,0,0.0,0.003895621569457266,0.9163888888888879,0,0,0,0.8502063751220703,42
ieee13,0.0,1.0,1.0,90.0,0,0,0.0,0.003895621569457266,0.9163888888888879,0,0,0,0.894956111907959,42
ieee13,0.0,1.0,1.5,30.0,0,1,0.0,0.003895632354820238,0.9163888888888879,1,0,0,0.8576207160949707,42
ieee13,0.0,1.0,1.5,45.0,0,1,0.0,0.003895632318446816,0.9163888888888879,1,0,0,0.9606595039367676,42
ieee13,0.0,1.0,1.5,60.0,0,1,0.0,0.0038956322604844955,0.9163888888888879,1,0,0,0.8940756320953369,42
ieee13,0.0,1.0,1.5,90.0,0,1,0.0,0.0038956322280630784,0.9163888888888879,1,0,0,0.7864739894866943,42
ieee13,0.0,1.0,2.0,30.0,0,0,0.0,0.010107835669033524,0.9163888888888879,0,0,0,0.8012230396270752,42
ieee13,0.0,1.0,2.0,45.0,0,0,0.0,0.010107835669033524,0.9163888888888879,0,0,0,0.8489854335784912,42
ieee13,0.0,1.0,2.0,60.0,0,0,0.0,0.010107835669033524,0.9163888888888879,0,0,0,0.7161533832550049,42
ieee13,0.0,1.0,2.0,90.0,0,0,0.0,0.010107835669033524,0.9163888888888879,0,0,0,0.7740144729614258,42
ieee13,0.0,1.0,1.0,45.0,11,0,26.62259447043334,0.10441111994528048,9.916388888888891,8,3,0,8.556892395019531,42
ieee13,0.0,10.0,1.0,45.0,11,0,26.62259447043334,0.10811035178964447,9.916388888888891,8,3,0,9.520089626312256,42
ieee13,0.0,30.0,1.0,45.0,17,0,41.14400963612425,0.10550873507084334,9.916388888888891,14,3,0,25.39020800590515,42
ieee13,0.0,60.0,1.0,45.0,27,0,65.34636824560911,0.1068499730125093,9.916388888888891,18,9,0,32.65134882926941,42
ieee13,1.0,1.0,1.0,45.0,37,0,89.54872685509396,0.013513968074277351,9.916388888888891,20,17,0,35.02410817146301,42
ieee13,1.0,10.0,1.0,45.0,37,0,89.54872685509396,0.017515507195430165,9.916388888888891,20,17,0,37.348679065704346,42
ieee13,1.0,30.0,1.0,45.0,39,0,94.38919857699094,0.023507774681135317,9.916388888888891,22,17,0,14.409468650817871,42
ieee13,1.0,60.0,1.0,45.0,45,0,108.91061374268185,0.028345835890099064,9.916388888888891,24,21,0,9.238326072692871,42
ieee13,2.0,1.0,1.0,45.0,65,0,157.31533096165157,0.0032015354576118366,9.916388888888891,37,28,0,7.912160634994507,42
ieee13,2.0,10.0,1.0,45.0,65,0,157.31533096165157,0.004414100838185426,9.916388888888891,37,28,0,8.007833242416382,42
ieee13,2.0,30.0,1.0,45.0,65,0,157.31533096165157,0.0061830660760293565,9.916388888888891,37,28,0,9.182529211044312,42
ieee13,2.0,60.0,1.0,45.0,65,0,157.31533096165157,0.007619027281673629,9.916388888888891,37,28,0,9.477888584136963,42
ieee13,3.0,1.0,1.0,45.0,65,0,157.31533096165157,0.00014111421485283834,9.916388888888891,37,28,0,8.729264736175537,42
ieee13,3.0,10.0,1.0,45.0,65,0,157.31533096165157,0.00018551882482696053,9.916388888888891,37,28,0,8.140471458435059,42
ieee13,3.0,30.0,1.0,45.0,65,0,157.31533096165157,0.0002535415641020952,9.916388888888891,37,28,0,11.333690166473389,42
ieee13,3.0,60.0,1.0,45.0,65,0,157.31533096165157,0.0003017062973053778,9.916388888888891,37,28,0,14.751323699951172,42
